fecha,tienda_id,sku_id,unidades,precio_unitario,descuento_pct,precio_final,ingresos,costo_total,margen_bruto,margen_pct
2022-01-03,T03,SKU001072,7,165000,0.0,165000,1155000,518000,637000,0.5515
2022-01-03,T08,SKU000511,3,132000,0.0,132000,396000,177000,219000,0.553
2022-01-03,T02,SKU000116,4,45000,0.1,40500,162000,80000,82000,0.5062
2022-01-03,T01,SKU000941,3,57000,0.0,57000,171000,78000,93000,0.5439
2022-01-03,T09,SKU000337,6,93000,0.0,93000,558000,252000,306000,0.5484
2022-01-03,T12,SKU000881,1,51000,0.0,51000,51000,23000,28000,0.549
2022-01-03,T03,SKU000737,6,85000,0.0,85000,510000,228000,282000,0.5529
2022-01-03,T11,SKU000840,1,55000,0.0,55000,55000,25000,30000,0.5455
2022-01-03,T01,SKU000147,7,41000,0.3,28700,200900,126000,74900,0.3728
2022-01-03,T07,SKU000443,5,83000,0.0,83000,415000,185000,230000,0.5542
2022-01-03,T10,SKU000837,1,54000,0.1,48600,48600,24000,24600,0.5062
2022-01-03,T05,SKU001037,1,173000,0.0,173000,173000,78000,95000,0.5491
2022-01-03,T05,SKU000943,3,65000,0.1,58500,175500,87000,88500,0.5043
2022-01-03,T01,SKU000287,3,103000,0.0,103000,309000,138000,171000,0.5534
2022-01-03,T09,SKU000720,2,91000,0.0,91000,182000,82000,100000,0.5495
2022-01-03,T07,SKU000480,1,120000,0.2,96000,96000,54000,42000,0.4375
2022-01-03,T08,SKU000022,4,45000,0.0,45000,180000,80000,100000,0.5556
2022-01-03,T09,SKU000683,3,77000,0.0,77000,231000,105000,126000,0.5455
2022-01-03,T06,SKU000906,3,58000,0.0,58000,174000,78000,96000,0.5517
2022-01-03,T12,SKU000320,1,95000,0.0,95000,95000,43000,52000,0.5474
2022-01-03,T05,SKU000126,2,47000,0.0,47000,94000,42000,52000,0.5532
2022-01-03,T06,SKU000277,1,106000,0.0,106000,106000,47000,59000,0.5566
2022-01-03,T11,SKU000194,2,46000,0.0,46000,92000,42000,50000,0.5435
2022-01-03,T02,SKU000696,3,74000,0.0,74000,222000,99000,123000,0.5541
2022-01-03,T04,SKU000057,1,47000,0.0,47000,47000,21000,26000,0.5532
2022-01-03,T03,SKU000019,6,46000,0.0,46000,276000,126000,150000,0.5435
2022-01-03,T07,SKU000264,5,94000,0.1,84600,423000,210000,213000,0.5035
2022-01-03,T09,SKU000794,2,55000,0.0,55000,110000,50000,60000,0.5455
2022-01-03,T05,SKU000113,1,42000,0.1,37800,37800,19000,18800,0.4974
2022-01-03,T06,SKU000542,1,133000,0.3,93100,93100,60000,33100,0.3555
2022-01-03,T10,SKU000647,3,80000,0.0,80000,240000,108000,132000,0.55
2022-01-03,T12,SKU000579,1,125000,0.1,112500,112500,56000,56500,0.5022
2022-01-03,T12,SKU001089,1,163000,0.0,163000,163000,73000,90000,0.5521
2022-01-03,T02,SKU000025,6,44000,0.1,39600,237600,120000,117600,0.4949
2022-01-03,T03,SKU000001,2,51000,0.1,45900,91800,46000,45800,0.4989
2022-01-03,T03,SKU000911,1,62000,0.0,62000,62000,28000,34000,0.5484
2022-01-03,T12,SKU000141,1,48000,0.2,38400,38400,22000,16400,0.4271
2022-01-03,T12,SKU000648,1,81000,0.0,81000,81000,36000,45000,0.5556
2022-01-03,T09,SKU000188,53,44000,0.0,44000,2332000,1060000,1272000,0.5455
2022-01-03,T07,SKU000201,1,89000,0.0,89000,89000,40000,49000,0.5506
2022-01-03,T08,SKU000257,2,90000,0.0,90000,180000,80000,100000,0.5556
2022-01-03,T11,SKU000547,1,125000,0.0,125000,125000,56000,69000,0.552
2022-01-03,T10,SKU000194,1,46000,0.1,41400,41400,21000,20400,0.4928
2022-01-03,T11,SKU000703,8,79000,0.2,63200,505600,280000,225600,0.4462
2022-01-03,T09,SKU001128,1,174000,0.3,121800,121800,78000,43800,0.3596
2022-01-03,T06,SKU000802,5,57000,0.0,57000,285000,130000,155000,0.5439
2022-01-03,T04,SKU000942,1,69000,0.0,69000,69000,31000,38000,0.5507
2022-01-03,T12,SKU000414,2,85000,0.0,85000,170000,76000,94000,0.5529
2022-01-03,T01,SKU001099,1,183000,0.0,183000,183000,82000,101000,0.5519
2022-01-03,T08,SKU000910,8,64000,0.1,57600,460800,232000,228800,0.4965
2022-01-03,T07,SKU000188,1,44000,0.2,35200,35200,20000,15200,0.4318
2022-01-03,T02,SKU000045,1,48000,0.1,43200,43200,22000,21200,0.4907
2022-01-03,T08,SKU000083,7,49000,0.1,44100,308700,154000,154700,0.5011
2022-01-03,T12,SKU000358,1,72000,0.2,57600,57600,33000,24600,0.4271
2022-01-03,T05,SKU001090,1,166000,0.0,166000,166000,75000,91000,0.5482
2022-01-03,T07,SKU000936,2,58000,0.0,58000,116000,52000,64000,0.5517
2022-01-03,T04,SKU000375,2,77000,0.0,77000,154000,68000,86000,0.5584
2022-01-03,T05,SKU000162,2,47000,0.0,47000,94000,42000,52000,0.5532
2022-01-03,T08,SKU000322,3,95000,0.0,95000,285000,129000,156000,0.5474
2022-01-03,T01,SKU000450,2,83000,0.0,83000,166000,76000,90000,0.5422
2022-01-03,T01,SKU001037,6,173000,0.0,173000,1038000,468000,570000,0.5491
2022-01-03,T04,SKU000184,5,51000,0.1,45900,229500,115000,114500,0.4989
2022-01-03,T03,SKU000111,1,50000,0.0,50000,50000,22000,28000,0.56
2022-01-03,T10,SKU000508,6,112000,0.0,112000,672000,300000,372000,0.5536
2022-01-03,T12,SKU000295,1,106000,0.0,106000,106000,48000,58000,0.5472
2022-01-03,T02,SKU000904,3,62000,0.0,62000,186000,84000,102000,0.5484
2022-01-03,T12,SKU000974,1,63000,0.0,63000,63000,29000,34000,0.5397
2022-01-03,T03,SKU000632,2,75000,0.0,75000,150000,68000,82000,0.5467
2022-01-03,T11,SKU001051,1,172000,0.0,172000,172000,77000,95000,0.5523
2022-01-03,T11,SKU000733,1,90000,0.0,90000,90000,41000,49000,0.5444
2022-01-03,T11,SKU000321,1,109000,0.0,109000,109000,49000,60000,0.5505
2022-01-03,T01,SKU000913,1,66000,0.0,66000,66000,30000,36000,0.5455
2022-01-03,T01,SKU000437,10,77000,0.0,77000,770000,350000,420000,0.5455
2022-01-03,T06,SKU000781,2,60000,0.2,48000,96000,54000,42000,0.4375
2022-01-03,T05,SKU001077,1,165000,0.0,165000,165000,74000,91000,0.5515
2022-01-03,T08,SKU000726,4,84000,0.0,84000,336000,152000,184000,0.5476
2022-01-03,T02,SKU000031,1,43000,0.1,38700,38700,20000,18700,0.4832
2022-01-03,T04,SKU000337,2,93000,0.0,93000,186000,84000,102000,0.5484
2022-01-03,T08,SKU000183,1,50000,0.0,50000,50000,23000,27000,0.54
2022-01-03,T12,SKU001047,1,193000,0.1,173700,173700,87000,86700,0.4991
2022-01-03,T06,SKU000544,1,125000,0.0,125000,125000,56000,69000,0.552
2022-01-03,T01,SKU001098,3,174000,0.0,174000,522000,234000,288000,0.5517
2022-01-03,T04,SKU001034,4,191000,0.0,191000,764000,344000,420000,0.5497
2022-01-03,T01,SKU000660,2,84000,0.0,84000,168000,76000,92000,0.5476
2022-01-03,T02,SKU000160,7,48000,0.0,48000,336000,154000,182000,0.5417
2022-01-03,T05,SKU001038,2,166000,0.0,166000,332000,150000,182000,0.5482
2022-01-03,T08,SKU000412,2,70000,0.0,70000,140000,62000,78000,0.5571
2022-01-03,T08,SKU001012,3,185000,0.0,185000,555000,249000,306000,0.5514
2022-01-03,T11,SKU000053,1,48000,0.0,48000,48000,22000,26000,0.5417
2022-01-03,T03,SKU000408,4,85000,0.0,85000,340000,152000,188000,0.5529
2022-01-03,T11,SKU000847,1,63000,0.0,63000,63000,28000,35000,0.5556
2022-01-03,T04,SKU001046,2,176000,0.0,176000,352000,158000,194000,0.5511
2022-01-03,T10,SKU001054,2,203000,0.0,203000,406000,182000,224000,0.5517
2022-01-03,T11,SKU000703,1,79000,0.0,79000,79000,35000,44000,0.557
2022-01-03,T06,SKU000260,1,100000,0.0,100000,100000,45000,55000,0.55
2022-01-03,T11,SKU001083,3,198000,0.0,198000,594000,267000,327000,0.5505
2022-01-03,T11,SKU000776,4,61000,0.0,61000,244000,108000,136000,0.5574
2022-01-03,T10,SKU001036,1,202000,0.1,181800,181800,91000,90800,0.4994
2022-01-03,T03,SKU000850,2,51000,0.0,51000,102000,46000,56000,0.549
2022-01-03,T02,SKU000354,1,74000,0.1,66600,66600,33000,33600,0.5045
2022-01-03,T06,SKU001099,3,183000,0.0,183000,549000,246000,303000,0.5519
2022-01-03,T11,SKU000873,1,50000,0.0,50000,50000,23000,27000,0.54
2022-01-03,T05,SKU000991,14,58000,0.0,58000,812000,364000,448000,0.5517
2022-01-03,T10,SKU001018,10,195000,0.0,195000,1950000,880000,1070000,0.5487
2022-01-03,T05,SKU001120,1,180000,0.3,126000,126000,81000,45000,0.3571
2022-01-03,T10,SKU000294,2,94000,0.0,94000,188000,84000,104000,0.5532
2022-01-03,T05,SKU000209,2,91000,0.0,91000,182000,82000,100000,0.5495
2022-01-03,T10,SKU001112,2,172000,0.0,172000,344000,154000,190000,0.5523
2022-01-03,T12,SKU000818,3,52000,0.0,52000,156000,72000,84000,0.5385
2022-01-03,T05,SKU000390,1,83000,0.0,83000,83000,37000,46000,0.5542
2022-01-03,T03,SKU000325,3,103000,0.2,82400,247200,138000,109200,0.4417
2022-01-03,T07,SKU000940,2,64000,0.5,32000,64000,58000,6000,0.0938
2022-01-03,T06,SKU000889,1,58000,0.0,58000,58000,26000,32000,0.5517
2022-01-03,T04,SKU000668,5,74000,0.0,74000,370000,170000,200000,0.5405
2022-01-03,T02,SKU000633,2,80000,0.0,80000,160000,72000,88000,0.55
2022-01-03,T12,SKU000577,1,130000,0.0,130000,130000,59000,71000,0.5462
2022-01-03,T09,SKU000137,2,47000,0.2,37600,75200,42000,33200,0.4415
2022-01-03,T01,SKU000428,5,84000,0.0,84000,420000,190000,230000,0.5476
2022-01-03,T11,SKU000612,1,84000,0.0,84000,84000,38000,46000,0.5476
2022-01-03,T04,SKU000911,1,62000,0.0,62000,62000,28000,34000,0.5484
2022-01-03,T01,SKU000819,2,60000,0.0,60000,120000,54000,66000,0.55
2022-01-03,T06,SKU000141,3,48000,0.0,48000,144000,66000,78000,0.5417
2022-01-03,T04,SKU001107,2,183000,0.1,164700,329400,166000,163400,0.4961
2022-01-03,T05,SKU000177,3,50000,0.1,45000,135000,66000,69000,0.5111
2022-01-03,T05,SKU000198,3,41000,0.2,32800,98400,54000,44400,0.4512
2022-01-03,T09,SKU000624,2,87000,0.0,87000,174000,78000,96000,0.5517
2022-01-03,T01,SKU000691,4,89000,0.0,89000,356000,160000,196000,0.5506
2022-01-03,T02,SKU000401,2,72000,0.0,72000,144000,66000,78000,0.5417
2022-01-03,T06,SKU000471,3,112000,0.0,112000,336000,150000,186000,0.5536
2022-01-03,T05,SKU000218,3,99000,0.0,99000,297000,132000,165000,0.5556
2022-01-03,T11,SKU000929,2,63000,0.0,63000,126000,56000,70000,0.5556
2022-01-03,T07,SKU000632,1,75000,0.0,75000,75000,34000,41000,0.5467
2022-01-03,T03,SKU000951,9,61000,0.0,61000,549000,243000,306000,0.5574
2022-01-03,T03,SKU000906,2,58000,0.0,58000,116000,52000,64000,0.5517
2022-01-03,T10,SKU000175,1,47000,0.0,47000,47000,21000,26000,0.5532
2022-01-03,T02,SKU000023,3,44000,0.0,44000,132000,60000,72000,0.5455
2022-01-03,T03,SKU000235,9,97000,0.0,97000,873000,396000,477000,0.5464
2022-01-03,T10,SKU001037,1,173000,0.0,173000,173000,78000,95000,0.5491
2022-01-03,T01,SKU001125,16,201000,0.0,201000,3216000,1440000,1776000,0.5522
2022-01-03,T05,SKU000929,4,63000,0.0,63000,252000,112000,140000,0.5556
2022-01-03,T12,SKU000523,1,118000,0.0,118000,118000,53000,65000,0.5508
2022-01-03,T05,SKU000431,12,77000,0.0,77000,924000,420000,504000,0.5455
2022-01-03,T12,SKU000793,1,57000,0.0,57000,57000,26000,31000,0.5439
2022-01-03,T11,SKU000533,2,134000,0.0,134000,268000,120000,148000,0.5522
2022-01-03,T07,SKU000979,2,57000,0.0,57000,114000,52000,62000,0.5439
2022-01-03,T04,SKU000810,1,53000,0.0,53000,53000,24000,29000,0.5472
2022-01-03,T03,SKU000913,3,66000,0.0,66000,198000,90000,108000,0.5455
2022-01-03,T01,SKU001125,9,201000,0.0,201000,1809000,810000,999000,0.5522
2022-01-03,T12,SKU000871,1,59000,0.3,41300,41300,26000,15300,0.3705
2022-01-03,T08,SKU000540,7,137000,0.0,137000,959000,434000,525000,0.5474
2022-01-03,T03,SKU001024,4,195000,0.0,195000,780000,352000,428000,0.5487
2022-01-03,T02,SKU000227,7,103000,0.0,103000,721000,322000,399000,0.5534
2022-01-03,T11,SKU000873,2,50000,0.0,50000,100000,46000,54000,0.54
2022-01-03,T04,SKU000892,17,55000,0.0,55000,935000,425000,510000,0.5455
2022-01-03,T03,SKU001037,3,173000,0.1,155700,467100,234000,233100,0.499
2022-01-03,T01,SKU000210,4,94000,0.0,94000,376000,168000,208000,0.5532
2022-01-03,T03,SKU000741,2,60000,0.0,60000,120000,54000,66000,0.55
2022-01-03,T12,SKU000397,1,84000,0.0,84000,84000,38000,46000,0.5476
2022-01-03,T02,SKU001124,3,205000,0.1,184500,553500,276000,277500,0.5014
2022-01-03,T08,SKU000031,1,43000,0.0,43000,43000,20000,23000,0.5349
2022-01-03,T06,SKU000898,1,59000,0.0,59000,59000,27000,32000,0.5424
2022-01-03,T09,SKU000649,1,80000,0.0,80000,80000,36000,44000,0.55
2022-01-03,T08,SKU000329,1,99000,0.0,99000,99000,45000,54000,0.5455
2022-01-03,T10,SKU000952,6,61000,0.2,48800,292800,162000,130800,0.4467
2022-01-03,T03,SKU001124,2,205000,0.0,205000,410000,184000,226000,0.5512
2022-01-03,T05,SKU000621,1,84000,0.1,75600,75600,38000,37600,0.4974
2022-01-03,T07,SKU000162,3,47000,0.0,47000,141000,63000,78000,0.5532
2022-01-03,T05,SKU000776,1,61000,0.5,30500,30500,27000,3500,0.1148
2022-01-03,T08,SKU000274,5,98000,0.0,98000,490000,220000,270000,0.551
2022-01-03,T12,SKU001027,1,193000,0.0,193000,193000,87000,106000,0.5492
2022-01-03,T05,SKU001052,1,165000,0.2,132000,132000,74000,58000,0.4394
2022-01-03,T01,SKU000326,7,105000,0.2,84000,588000,329000,259000,0.4405
2022-01-03,T05,SKU000940,1,64000,0.2,51200,51200,29000,22200,0.4336
2022-01-03,T04,SKU000540,9,137000,0.0,137000,1233000,558000,675000,0.5474
2022-01-03,T06,SKU000488,3,110000,0.0,110000,330000,150000,180000,0.5455
2022-01-03,T03,SKU000822,6,60000,0.0,60000,360000,162000,198000,0.55
2022-01-03,T11,SKU001089,1,163000,0.0,163000,163000,73000,90000,0.5521
2022-01-03,T05,SKU000356,7,79000,0.1,71100,497700,252000,245700,0.4937
2022-01-03,T02,SKU000235,1,97000,0.0,97000,97000,44000,53000,0.5464
2022-01-03,T11,SKU000227,3,103000,0.0,103000,309000,138000,171000,0.5534
2022-01-10,T11,SKU000619,2,73000,0.0,73000,146000,66000,80000,0.5479
2022-01-10,T06,SKU000096,3,44000,0.1,39600,118800,60000,58800,0.4949
2022-01-10,T08,SKU000898,2,59000,0.0,59000,118000,54000,64000,0.5424
2022-01-10,T04,SKU001086,2,195000,0.5,97500,195000,176000,19000,0.0974
2022-01-10,T12,SKU000561,1,126000,0.3,88200,88200,57000,31200,0.3537
2022-01-10,T01,SKU000905,4,65000,0.0,65000,260000,116000,144000,0.5538
2022-01-10,T07,SKU000348,1,97000,0.0,97000,97000,44000,53000,0.5464
2022-01-10,T03,SKU000671,2,74000,0.0,74000,148000,66000,82000,0.5541
2022-01-10,T06,SKU000317,1,97000,0.0,97000,97000,44000,53000,0.5464
2022-01-10,T02,SKU000719,1,90000,0.0,90000,90000,40000,50000,0.5556
2022-01-10,T09,SKU001072,1,165000,0.1,148500,148500,74000,74500,0.5017
2022-01-10,T01,SKU000250,2,105000,0.0,105000,210000,94000,116000,0.5524
2022-01-10,T06,SKU000314,1,90000,0.0,90000,90000,41000,49000,0.5444
2022-01-10,T06,SKU000807,1,63000,0.0,63000,63000,28000,35000,0.5556
2022-01-10,T05,SKU000485,6,122000,0.0,122000,732000,330000,402000,0.5492
2022-01-10,T05,SKU000044,1,42000,0.0,42000,42000,19000,23000,0.5476
2022-01-10,T01,SKU000571,2,134000,0.0,134000,268000,120000,148000,0.5522
2022-01-10,T10,SKU000583,3,124000,0.2,99200,297600,168000,129600,0.4355
2022-01-10,T12,SKU001116,1,202000,0.0,202000,202000,91000,111000,0.5495
2022-01-10,T05,SKU000895,2,56000,0.1,50400,100800,50000,50800,0.504
2022-01-10,T02,SKU000220,2,97000,0.0,97000,194000,88000,106000,0.5464
2022-01-10,T07,SKU000925,1,62000,0.0,62000,62000,28000,34000,0.5484
2022-01-10,T03,SKU000401,1,72000,0.0,72000,72000,33000,39000,0.5417
2022-01-10,T04,SKU000727,6,86000,0.0,86000,516000,234000,282000,0.5465
2022-01-10,T03,SKU000991,1,58000,0.1,52200,52200,26000,26200,0.5019
2022-01-10,T03,SKU000899,1,65000,0.0,65000,65000,29000,36000,0.5538
2022-01-10,T04,SKU000858,1,50000,0.0,50000,50000,23000,27000,0.54
2022-01-10,T05,SKU000804,1,54000,0.0,54000,54000,24000,30000,0.5556
2022-01-10,T01,SKU000490,8,109000,0.2,87200,697600,392000,305600,0.4381
2022-01-10,T04,SKU000938,5,65000,0.0,65000,325000,145000,180000,0.5538
2022-01-10,T12,SKU000844,3,53000,0.5,26500,79500,72000,7500,0.0943
2022-01-10,T12,SKU000267,1,97000,0.2,77600,77600,44000,33600,0.433
2022-01-10,T11,SKU000054,1,42000,0.0,42000,42000,19000,23000,0.5476
2022-01-10,T08,SKU000528,1,111000,0.0,111000,111000,50000,61000,0.5495
2022-01-10,T10,SKU000616,1,82000,0.1,73800,73800,37000,36800,0.4986
2022-01-10,T07,SKU001083,1,198000,0.0,198000,198000,89000,109000,0.5505
2022-01-10,T09,SKU001064,2,205000,0.0,205000,410000,184000,226000,0.5512
2022-01-10,T05,SKU000955,5,68000,0.0,68000,340000,150000,190000,0.5588
2022-01-10,T10,SKU000386,1,73000,0.0,73000,73000,33000,40000,0.5479
2022-01-10,T04,SKU000734,4,74000,0.3,51800,207200,132000,75200,0.3629
2022-01-10,T08,SKU000716,2,83000,0.0,83000,166000,74000,92000,0.5542
2022-01-10,T09,SKU000650,1,84000,0.0,84000,84000,38000,46000,0.5476
2022-01-10,T07,SKU000300,1,99000,0.0,99000,99000,45000,54000,0.5455
2022-01-10,T07,SKU000395,3,74000,0.0,74000,222000,99000,123000,0.5541
2022-01-10,T05,SKU000593,1,75000,0.0,75000,75000,34000,41000,0.5467
2022-01-10,T04,SKU000514,4,116000,0.0,116000,464000,208000,256000,0.5517
2022-01-10,T10,SKU000396,1,82000,0.0,82000,82000,37000,45000,0.5488
2022-01-10,T01,SKU000371,1,71000,0.1,63900,63900,32000,31900,0.4992
2022-01-10,T10,SKU000858,3,50000,0.3,35000,105000,69000,36000,0.3429
2022-01-10,T10,SKU000791,1,62000,0.0,62000,62000,28000,34000,0.5484
2022-01-10,T07,SKU000658,1,81000,0.1,72900,72900,36000,36900,0.5062
2022-01-10,T01,SKU000736,1,74000,0.0,74000,74000,33000,41000,0.5541
2022-01-10,T01,SKU000384,3,84000,0.1,75600,226800,114000,112800,0.4974
2022-01-10,T05,SKU000062,1,51000,0.1,45900,45900,23000,22900,0.4989
2022-01-10,T09,SKU000505,4,130000,0.0,130000,520000,236000,284000,0.5462
2022-01-10,T06,SKU000239,1,100000,0.0,100000,100000,45000,55000,0.55
2022-01-10,T03,SKU000195,1,46000,0.0,46000,46000,21000,25000,0.5435
2022-01-10,T03,SKU000678,3,83000,0.0,83000,249000,111000,138000,0.5542
2022-01-10,T07,SKU000061,2,50000,0.0,50000,100000,46000,54000,0.54
2022-01-10,T06,SKU000990,4,61000,0.1,54900,219600,108000,111600,0.5082
2022-01-10,T09,SKU000685,2,92000,0.0,92000,184000,82000,102000,0.5543
2022-01-10,T06,SKU000156,1,47000,0.0,47000,47000,21000,26000,0.5532
2022-01-10,T05,SKU000923,4,57000,0.0,57000,228000,104000,124000,0.5439
2022-01-10,T10,SKU000868,2,51000,0.0,51000,102000,46000,56000,0.549
2022-01-10,T07,SKU000903,1,61000,0.2,48800,48800,27000,21800,0.4467
2022-01-10,T01,SKU000999,1,58000,0.0,58000,58000,26000,32000,0.5517
2022-01-10,T12,SKU000975,4,69000,0.0,69000,276000,124000,152000,0.5507
2022-01-10,T07,SKU000388,1,74000,0.0,74000,74000,33000,41000,0.5541
2022-01-10,T03,SKU000887,10,54000,0.5,27000,270000,240000,30000,0.1111
2022-01-10,T09,SKU000838,1,58000,0.1,52200,52200,26000,26200,0.5019
2022-01-10,T06,SKU000340,8,103000,0.0,103000,824000,368000,456000,0.5534
2022-01-10,T09,SKU000204,2,103000,0.0,103000,206000,92000,114000,0.5534
2022-01-10,T05,SKU000161,1,43000,0.0,43000,43000,19000,24000,0.5581
2022-01-10,T07,SKU000392,1,77000,0.0,77000,77000,35000,42000,0.5455
2022-01-10,T04,SKU000769,3,50000,0.0,50000,150000,69000,81000,0.54
2022-01-10,T07,SKU000575,4,121000,0.0,121000,484000,220000,264000,0.5455
2022-01-10,T01,SKU000534,3,124000,0.0,124000,372000,168000,204000,0.5484
2022-01-10,T07,SKU001094,1,182000,0.1,163800,163800,82000,81800,0.4994
2022-01-10,T08,SKU000893,1,65000,0.0,65000,65000,29000,36000,0.5538
2022-01-10,T05,SKU000405,1,81000,0.0,81000,81000,36000,45000,0.5556
2022-01-10,T02,SKU000608,2,86000,0.0,86000,172000,78000,94000,0.5465
2022-01-10,T05,SKU000828,1,59000,0.0,59000,59000,27000,32000,0.5424
2022-01-10,T06,SKU000690,8,84000,0.0,84000,672000,304000,368000,0.5476
2022-01-10,T12,SKU000902,1,63000,0.1,56700,56700,28000,28700,0.5062
2022-01-10,T02,SKU000056,3,52000,0.0,52000,156000,69000,87000,0.5577
2022-01-10,T06,SKU000366,2,72000,0.0,72000,144000,64000,80000,0.5556
2022-01-10,T06,SKU000455,5,76000,0.0,76000,380000,170000,210000,0.5526
2022-01-10,T01,SKU000104,3,44000,0.0,44000,132000,60000,72000,0.5455
2022-01-10,T01,SKU000077,11,48000,0.0,48000,528000,231000,297000,0.5625
2022-01-10,T11,SKU000230,2,91000,0.0,91000,182000,82000,100000,0.5495
2022-01-10,T10,SKU000331,3,107000,0.0,107000,321000,144000,177000,0.5514
2022-01-10,T03,SKU000893,2,65000,0.0,65000,130000,58000,72000,0.5538
2022-01-10,T10,SKU000688,1,87000,0.1,78300,78300,39000,39300,0.5019
2022-01-10,T10,SKU000027,5,48000,0.3,33600,168000,110000,58000,0.3452
2022-01-10,T12,SKU000299,1,109000,0.0,109000,109000,49000,60000,0.5505
2022-01-10,T03,SKU000957,3,57000,0.0,57000,171000,78000,93000,0.5439
2022-01-10,T04,SKU000799,7,61000,0.0,61000,427000,189000,238000,0.5574
2022-01-10,T02,SKU001115,5,199000,0.5,99500,497500,445000,52500,0.1055
2022-01-10,T09,SKU000480,1,120000,0.0,120000,120000,54000,66000,0.55
2022-01-10,T10,SKU000573,1,135000,0.0,135000,135000,61000,74000,0.5481
2022-01-10,T12,SKU000458,1,69000,0.1,62100,62100,31000,31100,0.5008
2022-01-10,T11,SKU000365,1,85000,0.3,59500,59500,38000,21500,0.3613
2022-01-10,T07,SKU000859,1,60000,0.2,48000,48000,27000,21000,0.4375
2022-01-10,T07,SKU000351,1,79000,0.0,79000,79000,35000,44000,0.557
2022-01-10,T06,SKU000253,1,90000,0.3,63000,63000,41000,22000,0.3492
2022-01-10,T03,SKU000781,2,60000,0.0,60000,120000,54000,66000,0.55
2022-01-10,T06,SKU000803,1,57000,0.0,57000,57000,26000,31000,0.5439
2022-01-10,T12,SKU001012,1,185000,0.0,185000,185000,83000,102000,0.5514
2022-01-10,T08,SKU000459,4,83000,0.0,83000,332000,148000,184000,0.5542
2022-01-10,T08,SKU000917,4,62000,0.2,49600,198400,112000,86400,0.4355
2022-01-10,T11,SKU000499,3,111000,0.0,111000,333000,150000,183000,0.5495
2022-01-10,T09,SKU000950,5,57000,0.0,57000,285000,130000,155000,0.5439
2022-01-10,T01,SKU000508,5,112000,0.0,112000,560000,250000,310000,0.5536
2022-01-10,T01,SKU000501,1,132000,0.0,132000,132000,59000,73000,0.553
2022-01-10,T03,SKU000803,1,57000,0.0,57000,57000,26000,31000,0.5439
2022-01-10,T03,SKU000598,3,86000,0.0,86000,258000,117000,141000,0.5465
2022-01-10,T10,SKU000166,1,44000,0.0,44000,44000,20000,24000,0.5455
2022-01-10,T08,SKU000462,1,85000,0.0,85000,85000,38000,47000,0.5529
2022-01-10,T10,SKU000920,2,56000,0.0,56000,112000,50000,62000,0.5536
2022-01-10,T01,SKU000114,12,51000,0.0,51000,612000,276000,336000,0.549
